2018-11-02 15:24:56,253 - DEBUG - generation=14, Rank=2, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=41.6200, childFitness=38.0400, networkFitness=41.6200
2018-11-02 15:27:23,051 - DEBUG - generation=14, Rank=3, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=47.0200, childFitness=36.5900, networkFitness=47.4500
2018-11-02 15:29:08,526 - DEBUG - generation=15, Rank=0, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=27.0200, childFitness=33.5000, networkFitness=47.0600
2018-11-02 15:32:12,759 - DEBUG - generation=15, Rank=1, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=46.5100, childFitness=10.0000, networkFitness=46.8500
2018-11-02 15:34:31,395 - DEBUG - generation=15, Rank=2, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=39.4700, childFitness=37.8400, networkFitness=41.6200
2018-11-02 15:36:54,471 - DEBUG - generation=15, Rank=3, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=47.7900, childFitness=39.8400, networkFitness=47.7900
2018-11-02 15:39:56,756 - DEBUG - generation=16, Rank=0, parent={'dropout': 0.2, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adagrad', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=35.6300, childFitness=41.2300, networkFitness=47.0600
2018-11-02 15:43:41,921 - DEBUG - generation=16, Rank=1, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=46.7700, childFitness=20.8800, networkFitness=46.8500
2018-11-02 15:46:14,623 - DEBUG - generation=16, Rank=2, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 64}, parentFitness=39.9600, childFitness=35.8000, networkFitness=41.6200
2018-11-02 15:48:55,793 - DEBUG - generation=16, Rank=3, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=47.4800, childFitness=40.8900, networkFitness=47.7900
2018-11-02 15:53:45,096 - DEBUG - generation=17, Rank=0, parent={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 12, 'nbNeurons': 128}, child={'dropout': 0.4, 'optimizer': 'adamax', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=17.0200, childFitness=44.0100, networkFitness=47.0600
2018-11-02 15:57:06,854 - DEBUG - generation=17, Rank=1, parent={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=46.9700, childFitness=47.4000, networkFitness=47.4000
