2018-11-02 16:30:54,575 - DEBUG - generation=4, Rank=8, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=18.7400, childFitness=17.5400, networkFitness=18.7700
2018-11-02 16:34:02,163 - DEBUG - generation=4, Rank=9, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=18.4200, childFitness=17.9200, networkFitness=23.4000
2018-11-02 16:37:10,021 - DEBUG - generation=5, Rank=0, parent={'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 32}, child={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=17.4900, childFitness=10.0000, networkFitness=41.8700
2018-11-02 16:39:55,106 - DEBUG - generation=5, Rank=1, parent={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 64}, child={'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 32}, parentFitness=33.2300, childFitness=10.0100, networkFitness=33.2300
2018-11-02 16:43:12,519 - DEBUG - generation=5, Rank=2, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 64}, parentFitness=40.8400, childFitness=30.3600, networkFitness=40.8400
2018-11-02 16:45:44,946 - DEBUG - generation=5, Rank=3, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=39.0900, childFitness=34.7700, networkFitness=42.3900
2018-11-02 16:48:15,334 - DEBUG - generation=5, Rank=4, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=38.8800, childFitness=39.1500, networkFitness=41.2300
2018-11-02 16:51:31,199 - DEBUG - generation=5, Rank=5, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=17.3700, childFitness=18.2500, networkFitness=24.9000
2018-11-02 16:54:49,704 - DEBUG - generation=5, Rank=6, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=18.1600, childFitness=10.0000, networkFitness=18.6000
2018-11-02 16:58:19,361 - DEBUG - generation=5, Rank=7, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adagrad', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=15.7900, childFitness=10.0000, networkFitness=18.3100
2018-11-02 17:01:50,814 - DEBUG - generation=5, Rank=8, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=17.7300, childFitness=18.1700, networkFitness=18.7700
2018-11-02 17:05:44,415 - DEBUG - generation=5, Rank=9, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 15, 'nbNeurons': 64}, parentFitness=17.9900, childFitness=18.3300, networkFitness=23.4000
