2018-11-02 19:42:16,459 - DEBUG - generation=4, Rank=1, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=36.2300, childFitness=41.2300, networkFitness=41.2300
2018-11-02 19:42:18,529 - DEBUG - generation=4, Rank=3, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 6, 'nbNeurons': 64}, child={'dropout': 0.25, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 64}, parentFitness=38.0700, childFitness=32.4500, networkFitness=39.9800
2018-11-02 19:42:19,588 - DEBUG - generation=4, Rank=5, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 15, 'nbNeurons': 32}, parentFitness=34.3300, childFitness=25.4300, networkFitness=36.0500
2018-11-02 19:42:32,446 - DEBUG - generation=4, Rank=2, processid=boyle-n026.cluster, parent={'dropout': 0.2, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=37.7800, childFitness=39.8600, networkFitness=39.8600
2018-11-02 19:42:43,608 - DEBUG - generation=4, Rank=6, processid=boyle-n026.cluster, parent={'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.3, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 12, 'nbNeurons': 128}, parentFitness=42.2200, childFitness=30.2700, networkFitness=42.2200
2018-11-02 19:45:17,021 - DEBUG - generation=5, Rank=10, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 16}, child={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=36.9200, childFitness=32.8100, networkFitness=37.6800
2018-11-02 19:45:30,541 - DEBUG - generation=5, Rank=9, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.3, 'optimizer': 'nadam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=39.9900, childFitness=40.7100, networkFitness=41.2800
2018-11-02 19:45:33,397 - DEBUG - generation=5, Rank=8, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=39.9000, childFitness=43.7800, networkFitness=43.7800
2018-11-02 19:45:41,720 - DEBUG - generation=5, Rank=11, processid=boyle-n026.cluster, parent={'dropout': 0.25, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'nadam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=47.0600, childFitness=40.8900, networkFitness=47.0600
2018-11-02 19:45:45,934 - DEBUG - generation=5, Rank=7, processid=boyle-n026.cluster, parent={'dropout': 0.3, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.5, 'optimizer': 'adamax', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=44.3200, childFitness=44.1300, networkFitness=45.2900
2018-11-02 19:45:52,618 - DEBUG - generation=5, Rank=6, processid=boyle-n026.cluster, parent={'dropout': 0.5, 'optimizer': 'adadelta', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=42.7600, childFitness=36.9200, networkFitness=42.7600
2018-11-02 19:46:03,590 - DEBUG - generation=5, Rank=5, processid=boyle-n026.cluster, parent={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'tanh', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.2, 'optimizer': 'adadelta', 'activation': 'tanh', 'nbLayers': 6, 'nbNeurons': 64}, parentFitness=39.2700, childFitness=36.3900, networkFitness=39.2700
