2018-11-07 20:10:04,793 - DEBUG - generation=3, Rank=6, processid=boyle-n016.cluster, group=ID1, subRank=2, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=43.3900, childFitness=41.0900, networkFitness=46.1700, genBestFitness=46.1700
2018-11-07 20:12:48,435 - DEBUG - generation=4, Rank=10, processid=boyle-n016.cluster, group=ID2, subRank=2, parent={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 8}, child={'dropout': 0.2, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 8}, parentFitness=37.6900, childFitness=35.8000, networkFitness=37.6900, genBestFitness=48.8600
2018-11-07 20:12:48,435 - DEBUG - generation=4, Rank=2, processid=boyle-n016.cluster, group=ID0, subRank=2, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 32}, parentFitness=37.2900, childFitness=42.5400, networkFitness=42.5400, genBestFitness=48.8600
2018-11-07 20:12:48,435 - DEBUG - generation=4, Rank=6, processid=boyle-n016.cluster, group=ID1, subRank=2, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=46.5800, childFitness=40.1400, networkFitness=46.5800, genBestFitness=48.8600
2018-11-07 20:12:48,435 - DEBUG - generation=4, Rank=3, processid=boyle-n016.cluster, group=ID0, subRank=3, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 15, 'nbNeurons': 32}, parentFitness=33.0300, childFitness=10.0000, networkFitness=34.6700, genBestFitness=48.8600
2018-11-07 20:12:48,435 - DEBUG - generation=4, Rank=7, processid=boyle-n016.cluster, group=ID1, subRank=3, parent={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adamax', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=45.0700, childFitness=48.8600, networkFitness=48.8600, genBestFitness=48.8600
2018-11-07 20:12:48,435 - DEBUG - generation=4, Rank=4, processid=boyle-n016.cluster, group=ID1, subRank=0, parent={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, child={'dropout': 0.25, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 3, 'nbNeurons': 128}, parentFitness=42.5700, childFitness=44.9700, networkFitness=44.9700, genBestFitness=48.8600
2018-11-07 20:12:48,435 - DEBUG - generation=4, Rank=5, processid=boyle-n016.cluster, group=ID1, subRank=1, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=40.9000, childFitness=40.1700, networkFitness=42.3700, genBestFitness=48.8600
2018-11-07 20:12:48,435 - DEBUG - generation=4, Rank=9, processid=boyle-n016.cluster, group=ID2, subRank=1, parent={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 8}, child={'dropout': 0.25, 'optimizer': 'sgd', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 16}, parentFitness=33.6900, childFitness=35.2600, networkFitness=36.1700, genBestFitness=48.8600
2018-11-07 20:12:48,435 - DEBUG - generation=4, Rank=1, processid=boyle-n016.cluster, group=ID0, subRank=1, parent={'dropout': 0.3, 'optimizer': 'adadelta', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.4, 'optimizer': 'adam', 'activation': 'sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=18.6300, childFitness=21.4200, networkFitness=21.4200, genBestFitness=48.8600
