2018-11-02 18:56:59,644 - DEBUG - generation=13, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=45.1300, childFitness=46.5300, networkFitness=46.5300
2018-11-02 18:58:24,572 - DEBUG - generation=13, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=44.0900, childFitness=44.8400, networkFitness=44.8400
2018-11-02 19:02:06,730 - DEBUG - generation=14, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.4, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.3, 'optimizer': 'adagrad', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=43.3900, childFitness=41.7700, networkFitness=44.6100
2018-11-02 19:02:12,198 - DEBUG - generation=14, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=42.3700, childFitness=44.9300, networkFitness=44.9300
2018-11-02 19:02:36,298 - DEBUG - generation=14, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=46.2700, childFitness=47.2000, networkFitness=47.2000
2018-11-02 19:03:45,819 - DEBUG - generation=14, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 128}, parentFitness=44.0900, childFitness=43.2000, networkFitness=44.8400
2018-11-02 19:07:07,298 - DEBUG - generation=15, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'tanh', 'nbLayers': 3, 'nbNeurons': 64}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}, parentFitness=18.4600, childFitness=39.9800, networkFitness=44.6100
2018-11-02 19:07:28,171 - DEBUG - generation=15, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 3, 'nbNeurons': 64}, parentFitness=47.1700, childFitness=37.9100, networkFitness=47.2000
2018-11-02 19:07:30,110 - DEBUG - generation=15, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=43.4300, childFitness=45.7300, networkFitness=45.7300
2018-11-02 19:08:08,047 - DEBUG - generation=15, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'elu', 'nbLayers': 1, 'nbNeurons': 64}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 9, 'nbNeurons': 64}, parentFitness=44.4700, childFitness=43.0400, networkFitness=44.9300
2018-11-02 19:11:37,207 - DEBUG - generation=16, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adagrad', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=47.9100, childFitness=39.2800, networkFitness=47.9100
2018-11-02 19:11:43,444 - DEBUG - generation=16, Rank=3, processid=boyle-n010.cluster, parent={'dropout': 0.5, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, child={'dropout': 0.5, 'optimizer': 'adagrad', 'activation': 'elu', 'nbLayers': 6, 'nbNeurons': 128}, parentFitness=26.2200, childFitness=19.5900, networkFitness=44.6100
2018-11-02 19:11:46,859 - DEBUG - generation=16, Rank=2, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=44.3700, childFitness=48.8500, networkFitness=48.8500
2018-11-02 19:11:47,097 - DEBUG - generation=16, Rank=1, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, parentFitness=48.3500, childFitness=46.0000, networkFitness=48.3500
2018-11-02 19:13:57,585 - DEBUG - generation=17, Rank=0, processid=boyle-n010.cluster, parent={'dropout': 0.1, 'optimizer': 'adam', 'activation': 'selu', 'nbLayers': 1, 'nbNeurons': 128}, child={'dropout': 0.2, 'optimizer': 'adam', 'activation': 'hard_sigmoid', 'nbLayers': 1, 'nbNeurons': 4}, parentFitness=44.6800, childFitness=21.2800, networkFitness=47.9100
